,x,y,z,region,detailRegion,roughRegion
201573_026_reg,2872.44929,2954.76932,4787.33612,ORBvl,ORBvl-6a,CTX
194784_064_reg,2074.02614,3137.82215,4766.87358,ORBvl,ORBvl-1,CTX
192309_054_reg,2135.10137,2977.07893,4732.15319,ORBvl,ORBvl-2/3,CTX
17100_063_reg,2640.46701,3048.37871,4665.5154,ORBvl,ORBvl-5,CTX
195791_037_reg,3277.58363,4235.10107,5015.57822,ORBvl,ORBvl-5,CTX
195787_019_reg,3122.68377,3926.96617,5019.98161,ORBvl,ORBvl-5,CTX
195791_029_reg,2831.79908,4145.46837,5390.38309,ORBvl,ORBvl-2/3,CTX
17898_055_reg,3348.44674,3644.6838,4817.89147,ORBvl,ORBvl-6a,CTX
201575_028_reg,2481.08717,3849.8964,5005.4406,ORBvl,ORBvl-1,CTX
200297_117_reg,3374.12128,4180.73315,4903.81651,ORBvl,ORBvl-5,CTX
17898_029_reg,3432.2706,3761.78769,4850.57134,ORBvl,ORBvl-6a,CTX
200293_044_reg,3098.93611,4368.54721,5245.39002,ORBvl,ORBvl-2/3,CTX
194782_073_reg,2420.23444,3384.20973,4683.53144,ORBvl,ORBvl-2/3,CTX
195781_023_reg,3235.21239,3965.45535,4879.69961,ORBvl,ORBvl-5,CTX
200294_037_reg,3474.47691,4346.11602,4813.29848,ORBvl,ORBvl-6a,CTX
195787_026_reg,3185.82554,4212.05104,5036.18156,ORBvl,ORBvl-5,CTX
17897_049_reg,3053.25555,3330.38004,4810.71873,ORBvl,ORBvl-6a,CTX
17100_085_reg,2693.81016,3136.86006,4639.65406,ORBvl,ORBvl-5,CTX
194782_082_reg,2067.33375,3018.9134,4847.60033,ORBvl,ORBvl-2/3,CTX
195818_025_reg,2716.70691,4227.18296,5132.28096,ORBvl,ORBvl-1,CTX
201577_039_reg,3281.65102,3835.48352,4675.07349,ORBvl,ORBvl-5,CTX
17896_026_reg,2849.31493,3739.93589,4948.22212,ORBvl,ORBvl-5,CTX
17896_019_reg,3029.33199,3932.14588,4752.61826,ORBvl,ORBvl-2/3,CTX
200294_035_reg,3303.86034,4316.29062,4847.36363,ORBvl,ORBvl-2/3,CTX
194780_070_reg,2419.39205,3237.0074,4679.33249,ORBvl,ORBvl-5,CTX
200299_039_reg,3221.49216,4172.43916,5059.58261,ORBvl,ORBvl-5,CTX
200297_091_reg,3096.14811,4001.06065,5095.78815,ORBvl,ORBvl-5,CTX
17897_012_reg,3037.19216,3312.02578,4770.19036,ORBvl,ORBvl-6a,CTX
194783_075_reg,3074.16352,3337.20578,4535.19491,ORBvl,ORBvl-6a,CTX
17100_120_reg,2642.57118,3279.77637,4687.49385,ORBvl,ORBvl-5,CTX
201568_044_reg,2367.38636,3496.26384,4972.71562,ORBvl,ORBvl-1,CTX
194784_065_reg,2950.13576,3423.31577,4539.12551,ORBvl,ORBvl-5,CTX
17897_017_reg,3009.94633,3641.38559,4823.9691,ORBvl,ORBvl-5,CTX
200297_075_reg,2974.92522,4150.67779,5087.98754,ORBvl,ORBvl-2/3,CTX
195786_002_reg,3130.28802,3514.49143,4559.88664,ORBvl,ORBvl-5,CTX
194810_067_reg,2983.12167,3428.63642,4486.40821,ORBvl,ORBvl-5,CTX
194784_075_reg,2379.51797,3411.634,4748.16649,ORBvl,ORBvl-2/3,CTX
194783_049_reg,2468.25609,3515.49023,4745.45884,ORBvl,ORBvl-2/3,CTX
192310_027_reg,2315.0868,3225.20293,4764.04985,ORBvl,ORBvl-2/3,CTX
192310_118_reg,2312.46037,3279.53744,4904.04138,ORBvl,ORBvl-2/3,CTX
194781_024_reg,2536.75569,3178.77279,4818.37102,ORBvl,ORBvl-5,CTX
200294_026_reg,3124.23248,4309.15645,5003.70568,ORBvl,ORBvl-2/3,CTX
194783_096_reg,2518.62024,3293.82432,4879.39693,ORBvl,ORBvl-5,CTX
17897_040_reg,3071.51897,3548.22127,4751.42654,ORBvl,ORBvl-5,CTX
194780_066_reg,2667.18154,3139.23639,4661.80352,ORBvl,ORBvl-5,CTX
201577_035_reg,3247.23631,3538.28109,4729.42914,ORBvl,ORBvl-6a,CTX
195781_012_reg,3101.89438,3944.49682,4825.51743,ORBvl,ORBvl-5,CTX
194782_130_reg,2328.89755,3441.94606,4678.30912,ORBvl,ORBvl-1,CTX
195817_034_reg,2384.26234,3616.16916,5205.00211,ORBvl,ORBvl-1,CTX
195817_035_reg,2663.84503,3559.78695,4994.43915,ORBvl,ORBvl-5,CTX
194784_083_reg,2629.41748,3480.86383,4829.11028,ORBvl,ORBvl-5,CTX
194781_029_reg,2412.7198,3451.96868,4963.99872,ORBvl,ORBvl-2/3,CTX
195817_031_reg,2924.3753,3845.30266,5065.98197,ORBvl,ORBvl-5,CTX
200290_004_reg,2761.0445,3385.48246,4874.81306,ORBvl,ORBvl-5,CTX
200297_124_reg,2383.24197,3216.44463,4838.40494,ORBvl,ORBvl-2/3,CTX
194786_111_reg,2035.22979,3040.16734,4805.5452,ORBvl,ORBvl-1,CTX
194781_005_reg,2324.05312,3038.58355,4861.96593,ORBvl,ORBvl-5,CTX
194784_069_reg,2623.56335,3379.20098,4593.35676,ORBvl,ORBvl-5,CTX
195789_038_reg,2984.96321,4236.3591,5205.49864,ORBvl,ORBvl-2/3,CTX
195817_097_reg,2438.64571,3780.85436,5310.97232,ORBvl,ORBvl-1,CTX
195787_011_reg,3091.4689,3882.07586,5036.16912,ORBvl,ORBvl-5,CTX
194783_088_reg,2818.80887,3324.02113,4596.51532,ORBvl,ORBvl-5,CTX
201568_047_reg,2617.33022,3388.33494,5033.46241,ORBvl,ORBvl-5,CTX
201568_015_reg,2126.17621,2970.20486,4800.35019,ORBvl,ORBvl-2/3,CTX
200293_066_reg,3009.98389,4219.37434,5268.91758,ORBvl,ORBvl-2/3,CTX
194783_086_reg,3016.73103,3379.38496,4594.44372,ORBvl,ORBvl-6a,CTX
17896_028_reg,3196.82402,4215.82352,4806.95483,ORBvl,ORBvl-2/3,CTX
196549_010_reg,3155.7726,3579.01541,4553.25729,ORBvl,ORBvl-5,CTX
17896_050_reg,2837.87842,3516.28406,4736.78551,ORBvl,ORBvl-5,CTX
195784_016_reg,3501.10604,4322.41863,4649.91408,ORBvl,ORBvl-5,CTX
200297_059_reg,2760.81127,3847.25285,5224.2902,ORBvl,ORBvl-2/3,CTX
